,Title of Work,Type,Status,SiteAddress,URL,PhotoURL,Neighbourhood,DescriptionOfwork,YearOfInstallation,geo_point_2d
62,Swedish Fountain,Fountain or water feature,In place,5251 Oak Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=294,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/583c96ffd8aced1aeaeedece9d7f8d11,Shaughnessy,"This bronze fountain, donated by Vancouver's Swedish community, depicts the history and contributions of Swedish immigrants to British Columbia. The fountain, cast in Sweden, was unveiled at the official opening of VanDusen, August 30, 1975.",1975,"49.238041, -123.128435"
63,Sundial,Sculpture,In place,5251 Oak Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=297,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/30a1de6d155541a506655406eac56e3b,Shaughnessy,This nephrite (BC jade) and bronze sundial is set to Pacific Daylight Standard Time.5.,1975,"49.238871, -123.130724"
64,Three Botanists,Figurative,In place,5251 Oak Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=299,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/0683e4b41eed0b1c40180b00e0d17744,Shaughnessy,"The three bronze busts of Carolus Linnaeus, Archibald Menzies, and David Douglas were a Gift of Schenley Canada Inc.",1987,"49.239068, -123.134604"
65,Joy of Freedom,Memorial or monument,In place,Robson & Hornby Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=300,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/08bac66c8b23f9d3292769fe1a5fe137,Downtown,"This bronze abstract was donated to the Province of British Columbia in 1995 ""in honour of all Canadians who contributed to the liberation of the Netherlands in 1944-1945."" The Dutch Canadians Remember 1945 Society wanted to leave a permanent message marking the joy of the freedom of being liberated from oppression.",1995,"49.281413, -123.122005"
66,Spirits in a Landscape,Sculpture,In place,1111 West Georgia Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=301,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/d275c5e4afc1737ee383c5769f8a4c39,Downtown,"Commissioned by BC Gas, this bronze sculpture on the corner represents the natural world ""as a reflection of our own human pursuits and activities.""",1992,"49.286143, -123.123505"
67,"BC Nurses Memorial - ""When Humans Bleed""",Sculpture,No longer in place,899 West 12th Avenue,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=312,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/58cc21d9b49b32590aaf61797110370c,Fairview,,1999,"49.260248, -123.122348"
68,Flame of Peace,Fountain or water feature,In place,(south end of Burrard Bridge),https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=314,,Kitsilano,"A bronze cauldron contains the flame that is also the source of the water that surrounds the flame. The cauldron rests on a granite slab supported by a granite boulder. In the original plan, twelve other boulders surround the monument.",1986,"49.272017, -123.145862"
69,S.S. Beaver Tablet and Cairn,Memorial or monument,In place,Prospect Point,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=315,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/f716c3930e42201a79299addeb9a0e59,Stanley Park,"The tablet and cairn were part of a 1920's national scheme to recognize historic Canadian places.  The cairn is located on Prospect Point, directly above the 1888 ship wreck site of the S.S. Beaver.  The vessel had been built for the Hudson's Bay Company at Blackwall, England, in 1835, and was the pioneer steamship of the North Pacific Ocean.",1920,"49.313328, -123.142831"
70,Rand and Edgar Mural (Maritime Museum Mural),Mural,In place,1905 Ogden Avenue,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=321,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/040119ad5d2e96b6ed376e3b663e8bd3,Kitsilano,This mural is an elaborately detailed and colourful depiction of the events and people in the history of the harbour of Vancouver.,1986,"49.27753, -123.148075"
71,Nicolaus Copernicus Plaque,Two-dimensional artwork,In place,1000 Chestnut,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=322,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/7ae9bee54eb706e318b6ee21befc8300,West End,"20""x16"" glass and aluminum plaque to commemorate the advancements made to science by Nicolaus Copernicus.Original plaque went missing during extensive landscape renovations around the Planetarium in the early 2000's.New plaque was designed and installed at the entrance to the Gordon Southam Observatory.",2004,"49.275545, -123.143707"
74,Curtained Skies,Sculpture,In place,1529 West Pender Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=341,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/468e373697161fc4b009835bfa40bb9c,Downtown,"The artwork consists of three large, wedge-shaped sculptures that act as abstract paintings of layered coloured polyurethene. From the street, the three paintings appear in yellow and black vertical stripes swelling out from the surface. From inside the lobby, the pallette shifts to blue and white.",2002,"49.290167, -123.129083"
75,Leaf Stream,Fountain or water feature,In place,1680 Bayshore Drive,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=342,,West End,Large bronze maple leaves create a continuous path for a stream of water to flow from a circular pool above to a rectangular pool below. The leaves take on a turquoise patina from water flowing over them.,2002,"49.291813, -123.131793"
76,Scopes of Site,Site-integrated work,In place,500 Nicola Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=345,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/fa48d1495ba15472fc22fd343dd9346b,Downtown,Six stainless steel and concrete shafts rise from the ground on a south facing grassy knoll that forms a public garden for a residential tower.piece is inspired by the capture of image and the play of time in film media.,2003,"49.291273, -123.1275"
78,Time Top,Sculpture,In place,,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=358,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/2d285fb7059cf8c9f044de1a4f0a66c8,Downtown,Time Top is a piece about time travelling. The artist has created what looks like a 1940s-style space ship. The piece was submerged for two years so that the surface would become encrusted with sea life. The sculpture was given a low-level electrical charge to attract crustaceans to its surface. Its position on the shoreline encourages the idea that it has washed up from the depths.,2006,"49.2726, -123.115856"
79,Marking High Tide and Waiting for Low Tide Pavilions,Site-integrated work,In place,,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=371,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/cf5af49636284a661fd6359dbe9aa90e,Downtown,There are two sculptural elements below the pump station and along the southern shore of David Lam Park (located in North False Creek between the Granville and Cambie bridges) : a circle of stones and a concrete ring resting on columns. Text is inscribed on the inside of the concrete ring.,1996,"49.271847, -123.12491"
80,Renfrew Ravine Sanctuary,Site-integrated work,In place,,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=373,,Renfrew-Collingwood,"The entrance to the ravine is enhanced with a welcoming pathway, garden, and stone labyrinth.",2002,"49.251186, -123.043728"
82,False Creek Totem,Sculpture,In place,False Creek,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=396,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/ad5456be9528c569fcc325fd50898628,Fairview,This tall carved pole has a kayak passing through its centre.,1999,"49.268961, -123.1349"
83,Patterning: A Time Project,Mosaic,In place,2311 Cassiar Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=397,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/da2d1be28983f7bc4f7c3e092aaf22b7,Renfrew-Collingwood,The artwork is a ceramic grid of tiles with majorlica glaze.,2001,"49.263608, -123.032104"
85,LightShed,Sculpture,In place,,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=404,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/36b27a8de0c8abcb107245d225f04708,Downtown,"The artwork is located on the downtown seawall near the Coal Harbour Community Centre and facing Stanley Park. It is based on the old boat sheds that used to line the shoreline. The artist cast a ½ scale model in aluminum and coated it with luminescent paint.  It is perched on top of cast pilings. At night a soft glow emanates from inside. Grosvenor, an international property group, commissioned this work by Liz Magor as a gift to the city. The artwork was cast in the Harman Foundry in Robert's Creek operated by Stephen Harmon, son of artist Jack Harman.",2004,"49.290948, -123.123173"
86,2000 Views of Strathcona,Mosaic,In place,601 Keefer Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=405,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/58ef139c70438207571a302a5bbe3e4e,DowntownEastside,The artist worked with people in the community to create this digital photo mosaic.,2000,"49.27978, -123.091546"
88,Suan Phan: Abacus,Sculpture,In place,550 Taylor,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=412,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/0814caaa240d06097763502caf7b45fa,DowntownEastside,"The artwork is a dark concrete gate structure that supports a curved steel beam painted in cinnabar and frames a 1200 lb abacus with jade stones from Ogden Mountain in BC. The stones are movable and were carved by Deborah Wilson and engineered by George Noble to ""float"".",2005,"49.279584, -123.105903"
91,Watercourse,Fountain or water feature,In place,588 Burrard Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=426,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/5b75f8aa2c0e109c99fdcd723c41d400,Downtown,Water feature and planter.,2008,"49.285718, -123.118287"
92,VGH Energy Centre,Site-integrated work,In place,12th Avenue at Willow Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=427,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/10d20926dc6b1e76e9db82be94e1b30b,Fairview,"An interactive and integrally functional work that humanizes and animates the 45 or so intake, vent, steam and exhaust stacks rising out of the giant boiler plant below ground level. A somewhat parabolic stainless steel spiral pipe descends from the 3/4 point of one of the main stacks, down and across the site, ending over a vortex/whirlpool in the pool. The last 20 metres of the spiral rains cooling water into the pool, recycling it from, and back, into the plant itself. A number of the concrete pavers in the plaza are in fact pressure sensitive, that also cause the playful release of some of the excess steam from various vents of the system.",2008,"49.260111, -123.122523"
94,Weathervane,Sculpture,In place,1455 Howe Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=430,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/9f2768234f1c142bde58e3f046582041,Downtown,"Copper sculpture of the artist as the philosopher, Erasmus, seated backwards on a horse reading a book.",2008,"49.275678, -123.130832"
95,Park,Sculpture,In place,,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=431,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/e8d11d72bff2d65f154358cba031b305,Strathcona,"Park consists of two mobile, stainless steel sculptural objects each approximately the size and weight of a small automobile. The sculptures occupy curb lane parking spots and are relocated from time to time to various neighbourhoods throughout the city. Whether adjacent to public sites such as schools or parks, commercial properties, or permitted to occupy residential parking through their &#39;adoption&#39; by neighbourhood residents, Park tracks the many forms by which the street, our most symbolic public space, is regulated. Currently, the two sculptures are located on Prior Street at the east and west entrances of Strathcona Park.",2008,"49.276473, -123.087249"
96,Peaceable Kingdom,Sculpture,In place,4078 Knight Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=432,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/b822f01116fcb7006f8b3178752c7278,Kensington-Cedar Cottage,"In Dean's ""Peacable Kingdom"", serene beasts coexist in a precarious sensual paradise. The leopard lies with the goat kid, the sow and the python are in love, and the child and the bear are intimate. But it could collapse in a moment into sex and violence as a demon beaver leads berserker rats into paradise, and a giant vulture waits patiently for someone to die in paradise.",2008,"49.249072, -123.075344"
97,turn,Sculpture,In place,2820 Bentall Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=434,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/d2a4048bfbe113de3fd108e1c34c5b9c,Renfrew-Collingwood,Three sculptural elements fabricated from stainless steel pipe plate.,2008,"49.258316, -123.031001"
99,The Solar Bike Tree,Sculpture,In place,Quebec and Terminal,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=442,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/8f4f121aa1f4f2ec87d5676babc105de,Downtown,"The Solar Bike Tree is functional art. Part sculpture, part bike rack, the tree has motion-detected, solar powered lights in the treetop. A “nest” houses the battery and electrical components. Up to 15 bikes can be parked at the tree: 12 in the root “racks” around the base; three more can be hung from the tree trunk. The Solar Bike Tree is sited at Science World, close to the 2010 Olympics Athletes' Village. It sits at the confluence of three major cycle paths, including the city's premiere Central Valley Greenway. The Solar Bike Tree replaces a street lamp at the end of an arc of large trees in planters, becoming one of the “trees” in effect. The round hoops of the tree’s canopy echo the spherical shape of Science World. BC Hydro funded the solar component of the piece and Webster Solar Energy was the solar consultant.",2010,"49.273084, -123.102799"
